id,name,type,typeInfo,description
1,id,int,,
2,date nr,int,,The number of date that night when met partner.
3,date position,int,,Station number where met partner.
4,date same race,boolean,,Both subject and partner have same race.
5,date subject met before,boolean,,Subject met partner before.
6,date partner met before,boolean,,Partner met subject before.
7,date subject prob receive yes,double,,According to subject: probability that this partner will say 'yes' for you.
8,date partner prob receive yes,double,,According to partner: probability that this partner will say 'yes' for you.
9,date subject rates partner,int,,How much does subject like partner.
10,date partner rates subject,int,,How much does partner like subject.
11,date partner decision,boolean,,Partner's decision at the night of the event.
12,date match,boolean,,Both decisions are a 'yes'.
13,subject local id,int,,"Unique subject number within wave (in original dataset this was id, however I need id to be a truly unique IDentifying column)."
14,subject gender id,int,,Unique subject number within gender.
15,subject position_start,int,,station number where started.
16,subject hometown,String,,Hometown before coming to Columbia.
17,subject hometown zipcode,int,,Zipcode at hometown before coming to Columbia.
18,subject field,String,,Field of study.
19,subject school undergraduate,String,,Subject's school attended for undergraduate degree.
20,subject intended career,String,,Subject's intended career.
21,subject intended career category,String,,Subject's intended career (category).
22,subject importance of race,int,,Subject's importance of partner being of the same racial/ethnic background?
23,subject importance of religion,int,,Subject's importance of partner being of the same religious background?
24,subject date frequency,String,,Subject's date frequency.
25,subject go out frequency,String,,Subject's going out frequency (not necessarily on dates).
26,subject speeddate reason,String,,Subject's primary goal in participating in this event.
27,subject expected_happy,int,,Subject's expected satisfaction with the people to meet during the speed-dating event.
28,subject month after call,int,,Number of matches called by subject (3-4 weeks after).
29,subject month after called,int,,Number of matches that called subject (3-4 weeks after).
30,subject n_matches_estimation,int,,Subject's expected number of matches (a match occurs when you and your partner both check 'yes' next to decision).
31,subject interest art,int,,Subject's interest (art).
32,subject interest clubbing,int,,Subject's interest (clubbing).
33,subject interest concerts,int,,Subject's interest (concerts).
34,subject interest dining,int,,Subject's interest (dining).
35,subject interest exercise,int,,Subject's interest (exercise).
36,subject interest gaming,int,,Subject's interest (gaming).
37,subject interest hiking,int,,Subject's interest (hiking).
38,subject interest movies,int,,Subject's interest (movies).
